full_name,position,salary,team,opp,Slate,game_date,Projection,Floor,Ceiling,avg_DKPts,RosterPercent,proj_team_score,total_line,spread_line,Adj_opp_Rank,UpsideProb,Leverage
Samaje Perine,RB,4480.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,6.306011517858818,3.7,10.1,4.0375,3.2971343467765033,25.428571428571427,44.5,-6.357142857142857,28.0,0.0,0.0
James Conner,RB,5540.0,ARI,KC,Main,Sunday 22-09-11 01:25 PM,15.975968112964841,11.3,27.0,22.35,8.604968749621168,25.142857142857142,53.142857142857146,2.857142857142857,17.0,0.27,0.7613971982980446
Chris Carson,RB,6300.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,14.809706898935131,10.6,24.0,12.25,6.835101631459697,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.1,0.35501919197937043
Leonard Fournette,RB,6440.0,TB,DAL,Full,Sunday 22-09-11 07:20 PM,18.31538791444125,12.2,27.7,20.512500000000003,11.694266565164716,27.071428571428573,51.785714285714285,-2.357142857142857,1.0,0.19,0.39425519035966045
Dalvin Cook,RB,7980.0,MIN,GB,Main,Sunday 22-09-11 03:25 PM,16.36626328811658,10.4,28.1,17.225,4.219788101492128,23.607142857142858,48.714285714285715,1.5,18.0,0.08,0.460040589704426
Joe Mixon,RB,7200.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,17.00985720782743,12.3,29.8,20.4875,26.778520759642028,25.428571428571427,44.5,-6.357142857142857,28.0,0.17,0.15404909315690044
Alvin Kamara,RB,8500.0,NO,ATL,Main,Sunday 22-09-11 01:00 PM,22.074555859904326,14.2,37.8,19.575000000000003,32.755538318551665,23.178571428571427,42.142857142857146,-4.214285714285714,19.0,0.25,0.18520473047174407
Kareem Hunt,RB,5760.0,CLE,CAR,Main,Sunday 22-09-11 01:00 PM,10.937019517392057,8.6,21.5,13.5,6.4984122212582385,23.75,43.2,-4.3,6.0,0.08,0.29873048069921987
D'Onta Foreman,RB,5020.0,CAR,CLE,Main,Sunday 22-09-11 01:00 PM,8.681299222652616,4.5,16.6,12.625,2.784010933870155,19.45,43.2,4.3,14.0,0.04,0.3486469436992339
Jamaal Williams,RB,5020.0,DET,PHI,Main,Sunday 22-09-11 01:00 PM,9.041418253085437,5.2,14.3,7.2875000000000005,3.7612727265970785,21.25,46.5,4.0,21.0,0.01,0.06451519032742674
Marlon Mack,RB,4040.0,HOU,IND,Main,Sunday 22-09-11 12:00 PM,4.666717074185791,4.3,16.3,5.149999999999999,2.6653192231149214,18.5,44.714285714285715,7.714285714285714,8.0,0.1,0.9104321303253775
Jeffery Wilson,RB,4000.0,SF,CHI,Main,Sunday 22-09-11 12:00 PM,3.52765154862326,3.972596153846154,10.99959935897436,,1.0,24.357142857142858,42.285714285714285,-6.428571428571429,22.0,0.058477564102564106,1.4190120433538944
Trenton Cannon,RB,4240.0,TEN,NYG,Main,Sunday 22-09-11 03:25 PM,2.5976749660158753,0.0,0.9,0.0,2.6044810295861707,25.321428571428573,44.142857142857146,-6.5,26.0,0.0,0.0
Jason Cabinda,RB,4000.0,DET,PHI,Main,Sunday 22-09-11 01:00 PM,3.324828975430299,3.147727272727273,9.03677398989899,,1.0,21.25,46.5,4.0,21.0,0.02893939393939394,0.7022410929316066
Jaylen Samuels,RB,4000.0,ARI,KC,Main,Sunday 22-09-11 01:25 PM,3.8414159651300914,0.6,3.3,2.3,1.0,25.142857142857142,53.142857142857146,2.857142857142857,17.0,0.0,0.0
